"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"COG","Congo",0.251,,,0.7301,,,,,,1.2614,,1.6109,1.0044,,,0.5525,1.7898,,0.9888,0.73,0.7932,1.0375,,,,
"COD","Congo, the Democratic Republic o",,0.069,,,,,,,,0.636,,,,,0.0934,,,,0.9499,,0.9479,,0.8974,1.1101,,
"CRI","Costa Rica",0.854,0.864,0.872,0.901,1.719,1.3133,,,,,,2.0415,2.0905,2.1577,2.2178,2.3057,2.3721,2.4578,4.7087,5.0374,4.0371,4.3812,4.5184,6.3083,,
"CIV","Cote d'Ivoire",,0.09,,,,,,,,0.6823,0.5822,,,0.6109,,,0.615,,0.5719,0.857,0.4689,0.5093,0.5558,0.7662,0.8179,
"HRV","Croatia",6.8935,7.0703,7.3418,7.3485,7.3719,7.3611,7.4266,7.479,7.5627,7.731,7.7828,7.9173,8.1723,8.3939,8.2957,8.6189,8.8045,8.9947,9.194,9.2675,9.3648,2.9996,,,,
"CUB","Cuba",5.22,5.4966,5.6984,5.7509,5.8516,5.9316,5.9406,13.4789,6.0572,6.1965,6.2686,6.3483,15.1288,6.6345,6.6698,15.9917,6.9969,15.4744,15.516,7.5673,7.769,15.8122,16.0236,15.9813,,
"CYP","Cyprus",5.1766,5.1465,5.1459,5.126,3.1857,5.0154,5.0005,4.9427,4.9507,5.1257,4.9091,5.1631,5.3897,5.3504,5.5715,5.7028,5.9362,5.9136,6.2724,6.4123,6.6581,1.9509,,,,
"CZE","Czech Republic",10.8613,10.7946,10.8863,10.792,10.8832,12.1278,11.7149,11.9183,11.9264,12.0113,12.0425,12.7098,12.6598,11.8933,12.0349,12.0432,12.0171,12.0766,12.0154,12.2228,12.3226,4.0194,4.0676,12.4486,4.1157,
"DNK","Denmark",11.6326,11.7464,12.0712,12.2573,12.2404,12.4525,12.5113,12.7314,12.6172,12.9167,13.1612,13.2096,12.9933,13.3935,13.7232,13.8189,13.9245,14.0539,14.0658,14.0848,14.1671,14.3294,14.5713,14.7762,,
"DJI","Djibouti",0.191,0.14,,,0.8372,,,0.7364,,0.5508,0.7534,0.2328,,,,,,,,0.9525,,,,,,
"DMA","Dominica",0.47,0.493,5.0283,,,,8.0632,,,,,,,,,,,,6.6056,6.7651,6.6994,6.69,7.2168,1.1034,,
"DOM","Dominican Republic",1.5,,2.156,,,3.662,,,,,,,,1.098,1.3247,,2.8897,,1.4353,1.4497,1.4547,1.2069,1.1697,2.7831,2.9112,
"ECU","Ecuador",2.8494,3.0143,3.0344,2.946,3.0254,3.0693,3.1271,3.194,3.0211,,,,,,3.4775,3.7705,3.7335,,1.9461,2.1932,4.5772,4.8908,5.0465,2.5059,,
"EGY","Egypt",,2.02,1.6,,,2.118,,,0.5285,1.9787,,2.3362,,,,,,,1.9744,2.7425,2.7629,2.7466,2.7264,2.6952,0.7463,
"SLV","El Salvador",0.91,,1.071,,1.919,,,2.1904,,,2.0567,,1.3676,1.8823,,,,,1.7749,1.7591,1.7582,3.3701,1.8375,4.7043,,
"GNQ","Equatorial Guinea",0.208,0.246,,,,,,,,0.5914,,,,,,,,,,,,,0.9041,,,
"ERI","Eritrea",,0.03,,,,,,,,1,,,,,,,,,1.2988,1.2478,1.1852,1.4393,1.3267,1.4397,,
"EST","Estonia",10.1417,9.8568,9.7446,9.5172,9.4693,2.9376,8.8855,9.2609,9.4122,9.5592,9.716,9.7754,9.9346,10.035,9.7171,9.6411,9.8185,9.74,9.2897,9.4287,9.7674,9.8876,9.9901,6.6316,,
"ETH","Ethiopia",,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.2422,0.2363,0.2785,0.2543,0.2473,0.2273,0.2773,,,,,,,,0.8286,0.7904,,
"FJI","Fiji",,,0.476,0.357,2.2907,,,,2.4997,,,,,2.5088,2.7284,,,,3.7188,,3.8775,,,3.3752,3.9596,
"FIN","Finland",,,,,17.7797,17.4225,17.1951,17.5592,17.5453,19.0632,20.1219,20.9375,21.3432,20.918,21.5437,22.6317,22.8698,22.8006,22.2802,22.0973,17.4491,19.102,19.4658,4.6404,,
"FRA","France",3.2852,3.3038,3.3215,3.3337,3.3345,13.5803,13.8416,14.0627,14.2818,14.5167,14.7508,14.9423,14.7754,15.0578,15.2633,15.5153,15.6104,16.037,16.3714,16.7022,17.0429,17.365,17.6751,18.0051,,
"GAB","Gabon",0.2959,,,,,,,,,5.2984,,,,0.0968,,,,,,,,2.9005,3.6279,,,
"GMB","Gambia",,,0.035,,,,,,1.4049,0.5753,0.5817,0.5832,0.8672,0.9389,,,,,,,0.1021,,0.8135,,0.7134,
"GEO","Georgia",4.792,7.7155,8.5122,8.7293,8.8718,8.5384,8.023,8.0707,8.0596,7.9658,7.9578,7.8626,7.8094,7.9375,8.1178,8.3965,8.4367,8.2089,8.2982,8.5957,9.0229,9.9975,10.9861,11.8494,12.2946,
"DEU","Germany",3.0745,3.123,3.1407,3.1871,3.224,14.9983,15.1516,15.3303,15.5933,15.7441,15.931,16.1171,16.3735,16.6868,17.1372,17.366,17.6391,17.838,18.3482,16.8408,17.0457,17.0543,17.363,17.7854,,
"GHA","Ghana",,0.062,,,,,,0.09,,1.0787,,,0.0725,1.0477,1.2761,1.1546,0.0979,0.0956,0.1026,1.4847,2.1189,2.243,2.4326,0.096,2.8174,
"GRC","Greece",3.8342,3.8322,3.9455,4.0795,4.1825,8.5627,8.9083,9.6567,9.819,9.9539,10.1291,10.3146,10.5328,10.7671,11.0781,11.2919,11.3671,11.1359,11.0468,10.9467,10.8973,9.7683,9.8056,9.9281,,
"GRD","Grenada",0.65,,0.4035,,4.4239,4.1245,4.1085,4.0926,4.0769,,,4.4519,,,,,,,,,,,4.4635,1.4363,,
"GTM","Guatemala",1.1,,0.933,,0.8751,,,,,,,,,,1.7737,,,,,0.9435,0.9646,1.0054,1.4825,1.6378,,
"GIN","Guinea",0.13,,,,,0.5544,,,,0.6045,0.1032,,,,,,,,,,0.5023,0.207,,,,
"GNB","Guinea-Bissau",,0.166,,,,,,,,0.9592,,,,0.7125,0.7858,,0.6264,,0.5339,0.5229,0.7587,0.721,,0.6851,,
"GUY","Guyana",0.33,,0.181,,,0.4902,,,,,,,,,0.2153,0.6872,,,0.7164,0.6275,0.6972,0.7324,0.7869,1.819,,
"HTI","Haiti",0.16,,,0.3404,,,,,,,,,,,,,0.1378,,0.23,,0.3674,,,0.632,,
"HND","Honduras",0.65,,0.832,,,0.5591,,,,,0.3593,,,,,1.1548,,,0.6985,0.6767,0.6626,1.3306,1.0394,0.7287,,
"HUN","Hungary",8.9164,9.0269,8.9861,9.1985,9.1353,9.6659,10.168,10.5347,10.7987,10.7998,10.4033,10.8548,10.46,10.9809,10.9665,10.8122,10.7281,11.1171,11.4189,11.4668,11.3523,9.874,10.1484,10.5744,5.2593,
"ISL","Iceland",3,3.1,3.3,,3.4,23.4095,23.146,22.8776,23.2118,23.7788,23.8983,23.6971,24.1285,26.1466,26.789,24.9422,24.9985,25.2304,25.7121,25.773,26.2205,19.0457,19.686,20.7692,21.3304,
"IND","India",,,,,,1.6908,1.7172,0.5553,1.8068,1.8293,1.8792,0.6012,0.6182,0.6342,0.6518,0.6858,0.7376,0.6982,0.717,0.7247,0.7329,0.759,2.8858,2.4128,3.3166,
"IDN","Indonesia",,,,,,,,,0.9507,,,,,,0.2635,0.243,,0.2007,0.3121,,1.5728,,2.4299,0.4269,4.2721,
"IRN","Iran, Islamic Republic of",,0.85,,1.049,,,,,,2.2778,2.292,2.2251,,,,,1.9971,,,3.0685,3.0433,,3.7578,3.661,,
"IRQ","Iraq",,,,0.55,,,0.543,,,0.658,1.98,,1.577,,,0.6636,,,2.085,2.914,1.6498,2.5688,2.6501,2.7527,,
"IRL","Ireland",2.1054,2.1058,2.1366,2.197,2.2696,16.2591,17.2358,17.7912,17.3993,15.1157,15.8097,16.3334,17.7669,17.7942,17.0822,17.5979,17.4588,16.9029,16.5122,15.2919,15.6298,14.9396,17.8361,16.3243,3.352,
"ISR","Israel",4.3359,4.3527,4.3826,4.3788,4.4045,15.2226,15.1027,15.0236,14.7722,14.4686,14.1406,13.9109,13.6228,13.3019,13.0637,12.7703,12.7605,12.4243,12.4182,12.493,12.6448,12.2195,12.418,12.5273,12.0714,
"ITA","Italy",5.673,5.7347,5.8366,5.9177,5.9882,12.683,12.8244,12.9578,12.7001,12.7101,12.6136,12.7684,13.0594,13.0907,13.1192,13.148,13.2521,13.0853,13.1446,13.3773,13.4111,13.7367,14.0215,13.927,13.8997,
"JAM","Jamaica",0.57,,,,,,,,2.4459,,,,,1.4497,,,,1.8659,1.9026,1.8069,1.8654,2.0615,1.4674,,,
"JPN","Japan",,9.6721,,10.1719,,10.5783,,10.542,,10.9569,,11.3567,,11.8788,,12.4797,,12.9631,,13.8542,,14.3617,,15.1774,,
"JOR","Jordan",,,1.66,3.7984,4.842,4.9083,5.0868,5.0251,5.2561,5.3034,5.2618,5.5981,5.4602,5.1799,5.6279,5.7664,,,5.6293,5.639,2.8078,,5.6835,2.8212,3.347,
"KAZ","Kazakhstan",13.2333,12.3262,10.8366,10.4997,9.9952,9.454,9.8941,10.2293,10.2917,10.3706,10.4848,10.9709,11.0387,10.8171,11.4136,11.6493,11.8687,11.9752,11.9761,11.1802,7.2936,,,,,
"KEN","Kenya",0.132,,,,,,,0.1335,,0.4531,,,,0.5201,0.5585,0.8757,0.1748,0.1825,1.0758,1.1233,0.865,1.0362,1.0587,1.3221,,
"KIR","Kiribati",,,,2.3407,,,,,,2.8729,,,,3.9068,,4.3245,4.0784,,0.2039,,,,,3.8256,,
"PRK","Korea, Democratic People's Repub",2.97,,,,,,,,7.1365,,,,,7.4331,,,,3.4463,,3.5055,,3.7011,8.1323,,,
"KOR","Korea, Republic of",1.1,1.2,1.2,1.3,1.3,4.2463,4.7345,5.0635,5.0975,5.3459,5.4392,5.6411,5.8588,6.1799,6.3962,6.6224,6.782,6.9419,7.389,7.8167,8.2337,9.3269,9.509,9.8707,,
"KWT","Kuwait",1.783,,1.89,,,,4.3727,,1.9,1.5,1.8,5.6073,6.2073,6.5568,6.6976,8.9589,8.9571,8.8868,8.7387,9.3132,9.7977,7.0899,7.3489,7.4145,,
"KGZ","Kyrgyzstan",12.6298,12.425,11.7723,11.4966,11.2835,10.7578,10.1187,9.5959,9.3991,9.1589,8.8547,8.464,8.2401,8.0578,8.0211,7.9853,8.1252,8.1962,8.2351,8.1576,,,,,5.6026,
