"ISO3","Name","pop2020","gdp2020","medstaff2020","projecteddeathperc2020"
"TON","Tonga",105697,6695.14286214142,NA,1.04
"TTO","Trinidad and Tobago",1399491,25023.6952469772,5.40000009536743,1.075
"TUN","Tunisia",11818618,10822.8471746334,8.19999980926514,1.06
"TUR","Turkey",84339067,27235.4258308094,0,1.035
"TKM","Turkmenistan",6031187,16195.5387877252,NA,1.035
"TUV","Tuvalu",11792,4652.95384438438,NA,1.04
"UGA","Uganda",45741000,2294.33510740949,48.2999992370605,1.085
"UKR","Ukraine",44134693,13054.7609939201,19,1.035
"ARE","United Arab Emirates",9890400,66771.4997535294,NA,1.06
"GBR","United Kingdom",67215293,46482.8622423026,0,1.03
"USA","United States",331501080,63206.5210767941,0,1.03
"URY","Uruguay",3473727,22793.6879803833,NA,1.075
"UZB","Uzbekistan",34232050,7734.02449532989,52.2000007629395,1.035
"VUT","Vanuatu",307150,3010.85512902338,NA,1.04
"VEN","Venezuela, Bolivarian Republic o",28435943,17527.7487382376,44.0999984741211,1.075
"VNM","Viet Nam",97338583,8650.13346960462,13.8000001907349,1.04
"YEM","Yemen",29825968,3688.51940852363,66.1999969482422,1.135
"ZMB","Zambia",18383956,3457.61010164947,54.5999984741211,1.085
"ZWE","Zimbabwe",14862927,3537.35139379584,33.5,1.085
